Easting,Northing,Elevation_DEM,Prediction_SE,longitude,latitude
276940,2110780,2.253605788563286,1.9694393576591447,72.8800591563499,19.07775385679402
276960,2110780,2.271902333703223,2.0101570061643708,72.88024913797095,19.077756042126776
276980,2110780,2.3030208867411814,2.044458988298428,72.88043911961795,19.077758227264017
277000,2110780,2.3447053542940943,2.071213865356992,72.88062910129088,19.07776041220573
277020,2110780,2.3953372903772023,2.0910407847054118,72.88081908298973,19.077762596951924
277040,2110780,2.4538593953710155,2.105490910539714,72.8810090647145,19.077764781502594
277060,2110780,2.519629289996965,2.116386449799033,72.88119904646521,19.07776696585774
277080,2110780,2.5922528259856006,2.125391604546762,72.88138902824183,19.077769150017364
277100,2110780,2.6714355904828793,2.1337975659872552,72.88157901004438,19.077771333981463
277120,2110780,2.756872203022437,2.1424643077462253,72.88176899187283,19.077773517750042
277140,2110780,2.8481766950822323,2.1518593101658663,72.88195897372721,19.0777757013231
277160,2110780,2.9448477186282642,2.162147152000859,72.88214895560749,19.07777788470063
277180,2110780,3.046258827399538,2.173299710097245,72.88233893751368,19.07778006788264
277200,2110780,3.151664341671125,2.185207854856473,72.88252891944579,19.077782250869127
277220,2110780,3.2602132846421905,2.197781277201534,72.88271890140379,19.07778443366009
277240,2110780,3.370966222101347,2.2110256494222056,72.88290888338771,19.077786616255526
277260,2110780,3.4829118625030873,2.225088378957411,72.88309886539753,19.077788798655437
277280,2110780,3.594981728323305,2.240267462009365,72.883288847433235,19.07779098085983
277300,2110780,3.706062086084002,2.2569827321529345,72.88347882949482,19.077793162868698
277320,2110780,3.815002711740991,2.2757143946189347,72.88366881158233,19.07779534468204
277340,2110780,3.920622074713935,2.29691882843233,72.88385879369571,19.07779752629986
277360,2110780,4.021708210724466,2.3209348305187034,72.88404877583498,19.07779970772215
277380,2110780,4.117013910674052,2.347893703621752,72.88423875800015,19.077801888948922
277400,2110780,4.205243791225914,2.3776434544100185,72.88442874019121,19.077804069980164
277420,2110780,4.285029180714581,2.409691344105206,72.88461872240813,19.077806250815883
277440,2110780,4.354884528910885,2.4431615326828613,72.88480870465095,19.07780843145608
277460,2110780,4.413137411216569,2.4767583482441715,72.88499868691963,19.07781061190075
277480,2110780,4.457830758955743,2.508728338377255,72.8851886692142,19.077812792149892
277500,2110780,4.486645442735137,2.5368532744007997,72.88537865153464,19.077814972203512
277520,2110780,4.497082634982564,2.5586569350375887,72.88556863388094,19.077817152061602
277540,2110780,4.487416868365296,2.572222255818818,72.88575861625311,19.077819331724175
277560,2110780,4.458142874730329,2.5774130236840516,72.88594859865114,19.077821511191214
277580,2110780,4.411977895681204,2.5759808878216175,72.88613858107504,19.077823690462736
277600,2110780,4.352386674450874,2.57045900218791,72.8863285635248,19.077825869538724
277620,2110780,4.282574249629583,2.5633423318204067,72.88651854600043,19.07782804841919
277640,2110780,4.205260806186138,2.556856158142851,72.88670852850191,19.077830227104133
276780,2110800,3.056545695084275,2.0140544292659146,72.87853700405462,19.077916994734853
276800,2110800,2.848401479488057,1.8740498029132948,72.87872698567375,19.07791918165405
276820,2110800,2.6780419705172687,1.7687891688615103,72.87891696731883,19.077921368377723
276840,2110800,2.5449009815168577,1.71119290302488,72.87910694898987,19.077923554905873
276860,2110800,2.446660725203357,1.6998380275052816,72.87929693068685,19.077925741238495
276880,2110800,2.3799018327007957,1.72462644775518,72.87948691240977,19.077927927375598
276900,2110800,2.3406102162677285,1.7724048334365006,72.87967689415864,19.077930113317176
276920,2110800,2.32453973294863,1.830329663691188,72.87986687593344,19.07793229906323
276940,2110800,2.327490708142948,1.8879165965812006,72.88005685773419,19.077934484613763
276960,2110800,2.3456003063081785,1.938264770699965,72.88024683956087,19.077936669968768
276980,2110800,2.3756393342343562,1.9782746038479926,72.88043682141348,19.07793885512825
277000,2110800,2.4152169401802537,2.0079171955879436,72.88062680329203,19.077941040092206
277020,2110800,2.462807640295706,2.0290388682822016,72.8808167851965,19.07794322486064
277040,2110800,2.51760598837352,2.0442195742368563,72.88100676712689,19.07794540943355
277060,2110800,2.5792871714718695,2.055964499891409,72.88119674908322,19.07794759381093
277080,2110800,2.6477612582076473,2.0662702729835742,72.88138673106546,19.07794977799279
277100,2110800,2.7229767901666304,2.0764811853111507,72.88157671307363,19.077951961979128
277120,2110800,2.804792108134269,2.0873221618282582,72.8817666951077,19.07795414576993
277140,2110800,2.8929083643607196,2.0990176374022345,72.8819566771677,19.077956329365215
277160,2110800,2.9868479734340503,2.1114411542803113,72.88214665925359,19.077958512764972
277180,2110800,3.0859613223862867,2.1242685035681146,72.88233664136541,19.07796069596921
277200,2110800,3.189447892543855,2.1371215800664793,72.88252662350313,19.077962878977914
277220,2110800,3.296382345253481,2.1496937696465657,72.88271660566676,19.077965061791094
277240,2110800,3.4057400194035594,2.161846712650314,72.88290658785628,19.077967244408757
277260,2110800,3.5164191312628885,2.173667864281626,72.88309657007171,19.077969426830883
277280,2110800,3.627258733551116,2.18548100944816,72.88328655231304,19.077971609057485
277300,2110800,3.737052385295415,2.1978078843827276,72.88347653458027,19.077973791088564
277320,2110800,3.844557764403017,2.2112868040573277,72.88366651687339,19.07797597292412
277340,2110800,3.9485023426864765,2.2265615615638934,72.88385649919239,19.077978154564146
277360,2110800,4.047584883500719,2.244158807985712,72.8840464815373,19.077980336008643
277380,2110800,4.140471990700349,2.264373151498159,72.88423646390808,19.07798251725762
277400,2110800,4.22578830889954,2.2871758140736294,72.88442644630474,19.077984698311063
277420,2110800,4.302098517329583,2.312155722404944,72.8846164287273,19.077986879168982
277440,2110800,4.367879953625304,2.3384940142910566,72.88480641117573,19.077989059831374
277460,2110800,4.421489667911336,2.3649690141247475,72.88499639365003,19.077991240298243
277480,2110800,4.461147335756406,2.3899973145194986,72.88518637615023,19.077993420569577
277500,2110800,4.48500128237381,2.4117503661386612,72.88537635867627,19.07799560064539
277520,2110800,4.491414167172263,2.428441374049849,72.88556634122821,19.077997780525674
277540,2110800,4.479559446953397,2.438850938556661,72.88575632380599,19.07799996021043
277560,2110800,4.450022807167824,2.4428680899516397,72.88594630640966,19.07800213969966
277580,2110800,4.404787871074416,2.441569167188369,72.88613628903917,19.07800431899336
277600,2110800,4.34659807455633,2.4367891804744177,72.88632627169457,19.078006498091533
277620,2110800,4.278314641531336,2.4306333797218627,72.8865162543758,19.07800867699418
277640,2110800,4.202588676745083,2.425189534987568,72.8867062370829,19.078010855701297
277660,2110800,4.121761918750509,2.4224009813204486,72.88689621981585,19.078013034212887
276740,2110820,3.7434218637696435,2.1374958533904196,72.8781547401964,19.078093247903276
276760,2110820,3.449291946643241,1.9894017641032287,72.87834472196923,19.078095435235777
276780,2110820,3.186023419300976,1.8272785794740851,72.87853470376803,19.07809762237276
276800,2110820,2.9630071731863357,1.6798385704589145,72.87872468559279,19.078099809314217
276820,2110820,2.7818145173385367,1.582572432085749,72.87891466744348,19.07810199606015
276840,2110820,2.6413016891409624,1.544732132230609,72.87910464932014,19.078104182610556
276860,2110820,2.538551081128692,1.5568824861665977,72.87929463122273,19.078106368965436
276880,2110820,2.4693758561830075,1.6043865219693967,72.87948461315128,19.078108555124796
276900,2110820,2.4290463717908417,1.6724291766650017,72.87967459510577,19.078110741088622
276920,2110820,2.412626426923785,1.7470134524790137,72.8798645770862,19.078112926856928
276940,2110820,2.4151883222292247,1.8165821060916882,72.88005455909256,19.078115112429703
276960,2110820,2.4321735368881674,1.8740006698675706,72.88024454112487,19.078117297806955
276980,2110820,2.4598721097808776,1.9170740809438205,72.88043452318308,19.078119482988686
277000,2110820,2.495766229232153,1.947343463067328,72.88062450526725,19.07812166797488
277020,2110820,2.538541730130519,1.9682239877865186,72.88081448737735,19.078123852765554
277040,2110820,2.587807071167667,1.9834414473331008,72.88100446951336,19.078126037360697
277060,2110820,2.6436975690631432,1.9961106275010758,72.8811944516753,19.078128221760323
277080,2110820,2.706519269726068,2.008384080819439,72.88138443386316,19.078130405964416
